student_id,college_id,name,gender,department,batch_year,cgpa,skills,email,phone,city,placement_status
1,52,Gagan Mitra,Male,Electronics & Communication,2023,9.29,"Deep Learning, Docker, Product Management, Node.js, Java, Excel, Digital Marketing",gagan.mitra1@placemux-student.com,8044369957,Gulbarga,In Process
2,15,Brijesh Mander,Male,Computer Science,2027,8.08,"SQL, Data Analysis, Django, Machine Learning, Product Management, Communication, Tableau",brijesh.mander2@placemux-student.com,1343320037,Ramgarh,In Process
3,36,Indali Rajagopalan,Female,Electrical Engineering,2025,7.64,"Power BI, Product Management, Docker",indali.rajagopalan3@placemux-student.com,6320163287,Sirsa,In Process
4,28,Ekani Shetty,Female,Electronics & Communication,2025,8.11,"C++, Data Analysis, Excel, Django",ekani.shetty4@placemux-student.com,7986872774,Mathura,In Process
5,45,Mahika Sarraf,Female,Business Administration,2024,6.89,"C++, SQL, Python, Tableau, Machine Learning, Java",mahika.sarraf5@placemux-student.com,4345581223,Vijayanagaram,Not Placed
6,44,Samar Narayanan,Male,Electronics & Communication,2026,7.18,"Excel, React, DevOps, SQL, Data Analysis, Node.js, Product Management",samar.narayanan6@placemux-student.com,6036690967,Gurgaon,Placed
7,62,Imaran Sura,Male,Civil Engineering,2023,8.87,"Communication, Docker, Python, Digital Marketing, Machine Learning, Tableau, SQL",imaran.sura7@placemux-student.com,4670656272,Guntakal,Placed
8,62,Amara Chacko,Female,Civil Engineering,2027,7.68,"Kubernetes, React, Excel",amara.chacko8@placemux-student.com,2720465375,Nizamabad,In Process
9,27,Banjeet Singhal,Male,Artificial Intelligence & ML,2025,8.77,"C++, AWS, Excel, Docker",banjeet.singhal9@placemux-student.com,8053100330,Bhalswa Jahangir Pur,Placed
10,70,Deepa Kamdar,Female,Computer Science,2023,7.21,"SQL, Power BI, Excel",deepa.kamdar10@placemux-student.com,4529912419,Sikar,In Process
11,9,Hardik Borra,Male,Business Administration,2023,9.45,"React, Excel, Node.js, Tableau, Power BI",hardik.borra11@placemux-student.com,1491905865,Bidar,Placed
12,24,Yash Cherian,Male,Computer Science,2025,7.35,"SQL, React, Kubernetes",yash.cherian12@placemux-student.com,5726284987,North Dumdum,Placed
13,32,Krisha Chadha,Female,Computer Science,2025,9.39,"Kubernetes, React, Power BI, Product Management, Java, Docker, Node.js",krisha.chadha13@placemux-student.com,7379965075,Rampur,In Process
14,58,Onkar Mammen,Male,Commerce,2024,7.67,"Data Analysis, Machine Learning, DevOps, Power BI",onkar.mammen14@placemux-student.com,8083136783,Tiruchirappalli,Placed
15,39,Nandini Kant,Female,Electronics & Communication,2025,5.58,"Node.js, Digital Marketing, Power BI, Python",nandini.kant15@placemux-student.com,3495788568,Farrukhabad,Placed
16,81,Jeremiah Kashyap,Male,Computer Science,2026,7.47,"Data Analysis, Excel, Node.js, Machine Learning, Django, Power BI",jeremiah.kashyap16@placemux-student.com,3518233749,Jammu,In Process
17,2,Manbir Karan,Male,Mechanical Engineering,2024,6.84,"AWS, Tableau, DevOps, Communication",manbir.karan17@placemux-student.com,2408240084,Chapra,Placed
18,97,Lucky Singh,Male,Civil Engineering,2023,7.5,"AWS, Django, C++",lucky.singh18@placemux-student.com,7520471167,Jalgaon,In Process
19,2,Nidra Chada,Female,Information Technology,2025,5.0,"DevOps, Docker, Django, C++, Python",nidra.chada19@placemux-student.com,1869993867,Farrukhabad,In Process
20,68,Bhanumati Chaudhary,Female,Commerce,2026,8.98,"Product Management, Excel, Java, Machine Learning",bhanumati.chaudhary20@placemux-student.com,3412328120,Jalna,In Process
21,56,Amol Kata,Male,Commerce,2024,8.29,"C++, Power BI, Docker, Machine Learning, Django",amol.kata21@placemux-student.com,4713493618,Madurai,Placed
22,98,Ayushman Gandhi,Male,Electrical Engineering,2026,6.59,"Java, Power BI, Python, Docker, AWS",ayushman.gandhi22@placemux-student.com,9947174648,Khora ,In Process
23,11,Anusha Sankaran,Female,Civil Engineering,2027,8.01,"C++, Digital Marketing, Machine Learning",anusha.sankaran23@placemux-student.com,9401399049,Alwar,Placed
24,59,Gautam Sarin,Male,Mechanical Engineering,2026,8.04,"Power BI, C++, Django, Communication, React",gautam.sarin24@placemux-student.com,1756551256,Malda,In Process
25,93,Chaitanya Murty,Male,Civil Engineering,2024,7.08,"Node.js, Product Management, Communication, Django, Python, React",chaitanya.murty25@placemux-student.com,5168087603,Mango,Placed
26,90,Atharv Jani,Male,Mechanical Engineering,2027,8.36,"Product Management, C++, Tableau, Kubernetes, Docker, Digital Marketing",atharv.jani26@placemux-student.com,8247710932,Tiruchirappalli,Placed
27,19,Isaiah Comar,Male,Mechanical Engineering,2025,6.78,"Node.js, SQL, Communication, Docker, C++, Java",isaiah.comar27@placemux-student.com,1274846773,Jhansi,In Process
28,40,Yashoda Deshpande,Female,Mechanical Engineering,2026,7.23,"AWS, React, Python, Java",yashoda.deshpande28@placemux-student.com,4658404499,Hapur,Placed
29,82,Ojas Purohit,Male,Mechanical Engineering,2024,7.98,"SQL, Tableau, Power BI, AWS, Django, Data Analysis, Docker",ojas.purohit29@placemux-student.com,5339636057,Vadodara,In Process
30,50,Edhitha Thakkar,Female,Electronics & Communication,2027,8.43,"Machine Learning, Power BI, Data Analysis",edhitha.thakkar30@placemux-student.com,1718702621,Jodhpur,In Process
31,94,Omya Walla,Female,Artificial Intelligence & ML,2027,6.47,"Java, Kubernetes, Data Analysis, Machine Learning, Tableau, SQL",omya.walla31@placemux-student.com,5780913431,Rourkela,In Process
32,60,Mason Balakrishnan,Male,Artificial Intelligence & ML,2024,8.24,"Digital Marketing, C++, Tableau, Docker, Power BI, Deep Learning, Excel",mason.balakrishnan32@placemux-student.com,5045562386,Vijayawada,Placed
33,1,Rayaan Khosla,Male,Mechanical Engineering,2025,7.76,"Tableau, Excel, Data Analysis, Product Management, Deep Learning, C++",rayaan.khosla33@placemux-student.com,9237474074,Hapur,Placed
34,99,Mason Samra,Male,Business Administration,2023,8.28,"SQL, Communication, Data Analysis, Excel, C++, Node.js",mason.samra34@placemux-student.com,7436713695,Tenali,Placed
35,80,Mahika Anand,Female,Mechanical Engineering,2023,8.12,"React, Data Analysis, Django, Digital Marketing",mahika.anand35@placemux-student.com,9743953394,Gandhidham,Placed
36,72,Anay Patla,Male,Mechanical Engineering,2026,8.72,"Power BI, C++, Kubernetes, Tableau, Digital Marketing, Python",anay.patla36@placemux-student.com,1456232858,Ongole,Placed
37,84,Neelima Nigam,Female,Civil Engineering,2026,5.65,"Product Management, Python, Django, Deep Learning, Digital Marketing, Node.js",neelima.nigam37@placemux-student.com,7123685160,Arrah,Placed
38,25,Lekha Raj,Female,Data Science,2026,8.67,"Kubernetes, Digital Marketing, Data Analysis, Deep Learning, Product Management, React",lekha.raj38@placemux-student.com,1370985931,Kolhapur,In Process
39,82,Arin Barad,Male,Electronics & Communication,2026,4.62,"Django, C++, Digital Marketing",arin.barad39@placemux-student.com,7113826758,Navi Mumbai,In Process
40,100,Wishi Reddy,Other,Commerce,2027,6.7,"Digital Marketing, Kubernetes, Python, Django",wishi.reddy40@placemux-student.com,0537735158,Jhansi,In Process
41,33,Divya Sha,Female,Artificial Intelligence & ML,2024,6.17,"SQL, Power BI, React",divya.sha41@placemux-student.com,3900532931,Muzaffarpur,In Process
42,8,Nitesh Divan,Male,Mechanical Engineering,2026,7.47,"Excel, Django, C++",nitesh.divan42@placemux-student.com,4228421020,Pune,In Process
43,17,Harita Lanka,Female,Information Technology,2026,7.92,"C++, Django, Excel, Power BI, Kubernetes",harita.lanka43@placemux-student.com,2681177589,Srikakulam,Placed
